subscriber,launch,open_rate,click_rate,purchase
137632721,Launch_6,0.57,0.0,False
137632722,Launch_3,0.33,0.0,False
137632722,Launch_4,0.17,0.0,False
137632722,Launch_5,0.14,0.0,False
137632722,Launch_6,0.0,0.0,False
137632723,Launch_3,0.33,0.17,False
137632723,Launch_4,0.83,0.0,False
137632723,Launch_5,0.71,0.14,False
137632723,Launch_6,0.71,0.0,False
137632724,Launch_3,0.17,0.0,False
137632724,Launch_4,0.0,0.0,False
137632724,Launch_5,0.14,0.14,False
137632724,Launch_6,0.14,0.0,False
137632725,Launch_3,0.0,0.0,False
137632725,Launch_4,0.0,0.0,False
137632725,Launch_5,0.0,0.0,False
137632725,Launch_6,0.0,0.0,False
137632727,Launch_3,0.0,0.0,False
137632727,Launch_4,0.0,0.0,False
137632727,Launch_5,0.29,0.29,False
137632727,Launch_6,0.43,0.43,True
137632728,Launch_3,0.0,0.0,False
137632728,Launch_4,0.67,0.0,False
137632728,Launch_5,0.29,0.0,False
137632728,Launch_6,0.57,0.0,False
137632730,Launch_3,0.0,0.0,False
137632730,Launch_4,0.5,0.0,False
137632730,Launch_5,1.0,0.0,False
137632730,Launch_6,1.0,0.0,False
137632731,Launch_3,0.5,0.0,False
137632731,Launch_4,1.0,1.0,False
137632731,Launch_5,0.25,0.25,False
137632732,Launch_3,0.5,0.0,False
137632733,Launch_3,0.0,0.0,False
137632734,Launch_3,0.17,0.0,False
137632734,Launch_4,0.0,0.0,False
137632735,Launch_3,0.0,0.0,False
137632735,Launch_4,0.0,0.0,False
137632735,Launch_5,0.14,0.0,False
137632735,Launch_6,0.14,0.0,False
137632738,Launch_3,0.0,0.0,False
137632738,Launch_4,0.0,0.0,False
137632738,Launch_5,0.0,0.0,False
137632738,Launch_6,0.0,0.0,False
137632739,Launch_3,0.83,0.17,False
137632739,Launch_4,0.5,0.17,False
137632739,Launch_5,0.57,0.0,False
137632739,Launch_6,0.29,0.0,False
137632740,Launch_3,0.0,0.0,False
137632740,Launch_4,1.0,0.33,False
137632740,Launch_5,0.14,0.14,False
137632740,Launch_6,1.0,0.14,False
137632741,Launch_3,0.0,0.0,False
137632741,Launch_4,0.0,0.0,False
137632741,Launch_5,0.0,0.0,False
137632742,Launch_3,0.0,0.0,False
137632742,Launch_4,0.33,0.0,False
137632743,Launch_3,0.0,0.0,False
137632743,Launch_4,0.0,0.0,False
137632743,Launch_5,0.14,0.0,False
137632743,Launch_6,0.29,0.0,False
137632745,Evergreen_2,0.09,0.0,False
137632746,Launch_3,0.83,0.0,False
137632746,Launch_4,0.0,0.0,False
137632746,Launch_5,0.0,0.0,False
137632746,Launch_6,0.0,0.0,False
137632748,Launch_3,0.33,0.0,False
137632748,Launch_4,0.33,0.0,False
137632750,Launch_3,0.33,0.0,False
137632750,Launch_4,0.0,0.0,False
137632751,Launch_3,0.0,0.0,False
137632751,Launch_4,0.17,0.0,False
137632751,Launch_5,0.0,0.0,False
137632751,Launch_6,0.0,0.0,False
137632752,Launch_3,0.83,0.0,False
137632752,Launch_4,1.0,0.0,False
137632752,Launch_5,1.0,0.0,False
137632753,Launch_3,0.0,0.0,False
137632753,Launch_4,0.33,0.0,False
137632754,Launch_3,0.33,0.0,False
137632754,Launch_4,0.0,0.0,False
137632755,Launch_3,0.5,0.17,False
137632755,Launch_4,0.0,0.0,False
137632755,Launch_5,0.43,0.14,False
137632755,Launch_6,0.57,0.0,False
137632756,Launch_3,1.0,0.0,False
137632756,Launch_4,0.83,0.17,False
137632756,Launch_5,0.43,0.0,False
137632756,Launch_6,0.86,0.0,False
137632757,Launch_3,0.67,0.33,False
137632757,Launch_4,0.17,0.0,False
137632757,Launch_5,0.71,0.14,False
137632757,Launch_6,0.29,0.0,False
137632758,Launch_3,0.67,0.17,True
137632759,Launch_3,0.67,0.0,False
137632759,Launch_4,0.0,0.0,False
137632759,Launch_5,0.14,0.0,False
137632759,Launch_6,0.0,0.0,False
137632760,Launch_3,0.67,0.17,False
137632760,Launch_4,0.83,0.0,False
137632760,Launch_5,0.0,0.0,False
137632760,Launch_6,0.71,0.0,False
137632761,Launch_3,0.83,0.17,False
137632761,Launch_4,0.67,0.0,False
137632761,Launch_5,0.57,0.0,False
137632761,Launch_6,0.86,0.0,False
137632762,Launch_3,0.33,0.0,False
137632762,Launch_4,0.0,0.0,False
137632762,Launch_5,1.0,0.33,False
137632763,Launch_3,0.25,0.25,False
137632763,Launch_4,0.0,0.0,False
137632763,Launch_5,0.14,0.0,False
137632764,Launch_3,0.0,0.0,False
137632764,Launch_4,0.0,0.0,False
137632764,Launch_5,0.0,0.0,False
137632765,Launch_3,0.67,0.0,False
137632765,Launch_4,0.0,0.0,False
137632765,Launch_5,0.14,0.0,False
137632765,Launch_6,0.71,0.0,False
137632766,Launch_3,0.17,0.17,False
137632769,Evergreen_2,0.18,0.0,False
137632769,Launch_3,0.33,0.17,False
137632769,Launch_4,0.17,0.0,False
137632769,Launch_5,0.57,0.0,False
137632769,Launch_6,0.29,0.0,False
137632770,Launch_3,0.0,0.0,False
137632770,Launch_4,0.33,0.0,False
137632770,Launch_5,0.14,0.0,False
137632770,Launch_6,0.0,0.0,False
137632771,Launch_3,0.0,0.0,False
137632771,Launch_4,0.0,0.0,False
137632771,Launch_5,0.0,0.0,False
137632771,Launch_6,0.71,0.0,False
137632773,Launch_3,0.0,0.0,False
137632773,Launch_4,0.83,0.17,False
137632773,Launch_5,0.5,0.0,False
137632774,Launch_4,0.17,0.0,False
137632774,Launch_5,0.29,0.0,False
137632774,Launch_6,0.0,0.0,False
137632775,Launch_3,0.0,0.0,False
137632775,Launch_4,0.67,0.0,False
137632775,Launch_5,0.14,0.0,False
137632775,Launch_6,0.0,0.0,False
137632776,Launch_3,0.83,0.17,False
137632776,Launch_4,1.0,0.0,False
137632776,Launch_5,0.71,0.0,False
137632776,Launch_6,1.0,0.0,False
137632778,Launch_3,0.17,0.17,False
137632778,Launch_4,0.0,0.0,False
137632778,Launch_5,0.0,0.0,False
137632778,Launch_6,0.0,0.0,False
137632779,Launch_4,0.33,0.0,False
137632779,Launch_5,0.14,0.0,False
137632779,Launch_6,1.0,0.0,False
137632781,Launch_3,0.33,0.0,False
137632782,Launch_3,0.5,0.0,False
137632783,Launch_3,0.83,0.17,False
137632783,Launch_4,0.67,0.17,False
137632783,Launch_5,0.57,0.0,False
137632784,Launch_3,0.5,0.0,False
137632784,Launch_4,0.17,0.0,False
137632785,Launch_3,0.0,0.0,False
137632785,Launch_4,0.17,0.0,False
137632785,Launch_5,0.14,0.0,False
137632785,Launch_6,0.14,0.0,False
137632786,Launch_3,0.0,0.0,False
137632786,Launch_4,0.33,0.0,False
137632786,Launch_5,0.43,0.0,False
137632786,Launch_6,0.29,0.0,False
137632787,Launch_3,0.86,0.14,False
137632787,Launch_4,0.67,0.0,False
137632787,Launch_5,1.0,1.0,True
137632788,Launch_3,1.0,0.0,False
137632788,Launch_4,0.83,0.33,False
137632788,Launch_5,0.57,0.0,False
137632788,Launch_6,0.57,0.0,False
137632789,Launch_3,0.0,0.0,False
137632789,Launch_4,0.0,0.0,False
137632789,Launch_5,0.29,0.0,False
137632789,Launch_6,0.0,0.0,False
137632790,Launch_3,0.67,0.0,False
137632790,Launch_4,0.0,0.0,False
137632790,Launch_5,0.43,0.0,False
137632790,Launch_6,0.57,0.0,False
137632791,Launch_3,0.67,0.0,False
137632791,Launch_4,0.33,0.0,False
137632791,Launch_5,0.14,0.0,False
137632791,Launch_6,0.29,0.0,False
137632792,Launch_3,0.17,0.0,False
137632792,Launch_4,0.5,0.0,False
137632792,Launch_5,0.14,0.0,False
137632792,Launch_6,0.0,0.0,False
137632794,Launch_3,0.0,0.0,False
137632794,Launch_4,0.67,0.0,False
137632794,Launch_5,0.71,0.0,False
137632794,Launch_6,0.0,0.0,False
137632796,Launch_3,0.0,0.0,False
137632796,Launch_4,0.0,0.0,False
137632796,Launch_5,0.0,0.0,False
137632796,Launch_6,0.14,0.0,False
137632797,Launch_3,1.0,0.0,False
137632797,Launch_4,0.67,0.0,False
137632797,Launch_5,0.14,0.0,False
137632797,Launch_6,0.43,0.0,False
137632799,Launch_3,0.0,0.0,False
137632799,Launch_4,0.0,0.0,False
137632799,Launch_5,0.29,0.14,False
137632799,Launch_6,0.0,0.0,False
137632800,Launch_3,0.0,0.0,False
137632800,Launch_4,0.0,0.0,False
137632801,Launch_3,0.0,0.0,False
137632801,Launch_4,0.0,0.0,False
137632801,Launch_5,0.0,0.0,False
137632802,Launch_3,0.0,0.0,False
137632802,Launch_4,0.0,0.0,False
137632804,Launch_3,0.67,0.0,False
137632804,Launch_4,0.0,0.0,False
137632804,Launch_5,0.43,0.0,False
137632804,Launch_6,0.43,0.0,False
137632805,Launch_3,0.0,0.0,False
137632805,Launch_4,0.0,0.0,False
137632805,Launch_5,0.14,0.14,False
137632805,Launch_6,0.57,0.14,False
137632807,Launch_3,0.33,0.17,False
137632807,Launch_4,0.5,0.17,False
137632807,Launch_5,0.29,0.14,False
137632807,Launch_6,0.57,0.29,False
137632808,Launch_3,0.33,0.0,False
137632808,Launch_4,0.5,0.0,False
137632808,Launch_5,0.0,0.0,False
137632808,Launch_6,0.14,0.0,False
137632809,Launch_3,0.83,0.17,False
137632809,Launch_4,1.0,0.33,False
137632809,Launch_5,0.71,0.14,False
137632809,Launch_6,0.43,0.14,False
137632810,Launch_3,0.17,0.17,False
137632810,Launch_4,0.33,0.17,False
137632810,Launch_5,0.57,0.14,False
137632810,Launch_6,0.43,0.0,False
137632811,Launch_3,0.67,0.0,False
137632811,Launch_4,0.0,0.0,False
137632811,Launch_5,0.0,0.0,False
137632811,Launch_6,0.14,0.14,False
137632812,Launch_3,0.67,0.0,False
137632812,Launch_4,0.33,0.0,False
137632812,Launch_5,0.57,0.14,False
137632812,Launch_6,0.57,0.14,False
137632813,Launch_3,1.0,0.17,False
137632814,Launch_3,0.33,0.0,False
137632815,Launch_3,0.5,0.0,False
137632815,Launch_4,0.17,0.0,False
137632815,Launch_5,0.57,0.14,False
137632815,Launch_6,0.14,0.0,False
137632816,Launch_3,0.67,0.0,False
137632816,Launch_4,0.0,0.0,False
137632817,Launch_3,0.75,0.0,False
137632818,Launch_3,0.5,0.0,False
137632818,Launch_4,0.33,0.0,False
137632818,Launch_5,0.14,0.0,False
137632818,Launch_6,0.29,0.0,False
137632819,Launch_3,0.0,0.0,False
137632819,Launch_4,0.33,0.17,False
137632819,Launch_5,0.43,0.14,False
137632819,Launch_6,0.29,0.14,False
137632820,Launch_3,0.0,0.0,False
137632820,Launch_4,0.17,0.0,False
137632820,Launch_5,0.14,0.0,False
137632820,Launch_6,0.0,0.0,False
137632821,Launch_3,0.17,0.0,False
137632821,Launch_4,0.0,0.0,False
137632823,Launch_3,0.83,0.0,False
137632823,Launch_4,0.67,0.0,False
137632823,Launch_5,0.5,0.0,False
137632824,Launch_3,0.83,0.0,False
137632826,Launch_3,0.67,0.0,False
137632826,Launch_4,0.17,0.0,False
137632826,Launch_5,0.43,0.0,False
137632826,Launch_6,0.14,0.0,False
137632827,Launch_3,0.33,0.17,False
137632827,Launch_4,0.17,0.0,False
137632828,Launch_3,0.0,0.0,False
137632828,Launch_4,0.0,0.0,False
137632829,Launch_3,0.33,0.0,False
137632829,Launch_4,0.0,0.0,False
137632829,Launch_5,0.6,0.2,False
137632830,Launch_3,0.17,0.0,False
137632830,Launch_4,0.0,0.0,False
