Standardized coefficients not selected

"label","OR","coefficient","std.error","z.value","p.value","sig_star","dummy","mean","sd","min","max","importance"
"(Intercept)",0,-7.01545772407734,0.249125044728607,-28.1603872132562,1.78807116078359e-174,"***",0,1,0,1,1,0
"open_rate",9.02304829821682,2.19978222578722,0.375242151419814,5.86230043043898,0.00000000456498109345261,"***",0,0.263200726224168,0.311014826983118,0,1,9.02304829821682
"click_rate",448.199722996396,6.10523894333093,0.36012363955937,16.9531746119222,0.000000000000000000000000000000000000000000000000000000000000000182336772216068,"***",0,0.0342286538153468,0.103063776841251,0,1,448.199722996396
