Standardized coefficients not selected

"label","coefficient","std.error","t.value","p.value","sig_star","dummy","mean","sd","min","max","importance"
"(Intercept)",-0.00633313114005041,0.00259630566901357,-2.43928564176213,0.0147285514610841,"*  ",0,1,0,1,1,0
"subscription_length",0.000015468869740262,0.00000393787085429568,3.92823185742306,0.0000859797095806421,"***",0,268.597948355147,253.597582208009,-61,1028,0.000015468869740262
"open_rate",0.0174751170294135,0.00513925589783333,3.40032046989154,0.000674931659394333,"***",0,0.387201980898479,0.295123379995824,0,1,0.0174751170294135
"click_rate",0.066960540082731,0.0162880784966282,4.11101531077423,0.0000396149686608444,"***",0,0.0671828793774319,0.0799863890434284,0,1,0.066960540082731
"rec_open_rate",0.0129275178617285,0.00380422321965581,3.3982017130157,0.000680176487524061,"***",0,0.306385084441553,0.35425596067521,0,1,0.0129275178617285
"rec_click_rate",0.0358234547751045,0.0127152861024851,2.81735341905543,0.00484884207430357,"** ",0,0.027065893760488,0.0943619127963173,0,1,0.0358234547751045
"past_course_open_rate",-0.0127052476598868,0.0049613752703529,-2.56083181931592,0.0104524853843474,"*  ",0,0.433014590399302,0.214305032179291,0,1,0.0127052476598868
"past_course_click_rate",0.0523758698757747,0.0144472525165736,3.62531698090624,0.0002896217660242,"***",0,0.104153741840594,0.0744976933021281,0,1,0.0523758698757747
